Season,Team,Market Value,Average Age
2016,Chelsea FC,"14,01 mio. €",41
2016,Manchester City,"16,47 mio. €",29
2016,Tottenham Hotspur,"14,31 mio. €",20
2016,Arsenal FC,"12,90 mio. €",26
2016,Manchester United,"12,65 mio. €",26
2016,FC Liverpool,"11,20 mio. €",24
2016,FC Everton,"7,98 mio. €",26
2016,West Ham United,"6,21 mio. €",29
2016,FC Southampton,"7,33 mio. €",19
2016,Crystal Palace,"5,08 mio. €",26
2016,Leicester City,"7,05 mio. €",22
2016,Stoke City,"5,47 mio. €",27
2016,FC Watford,"3,82 mio. €",37
2016,Swansea City,"4,25 mio. €",28
2016,Hull City,"3,23 mio. €",24
2016,AFC Sunderland,"3,14 mio. €",27
2016,AFC Bournemouth,"3,21 mio. €",16
2016,Middlesbrough FC,"3,68 mio. €",21
2016,West Bromwich Albion,"4,11 mio. €",18
2016,Burnley FC,"2,98 mio. €",15
2017,Manchester City,"31,53 mio. €",22
2017,Chelsea FC,"19,22 mio. €",33
2017,FC Liverpool,"24,50 mio. €",21
2017,Manchester United,"24,27 mio. €",23
2017,Tottenham Hotspur,"24,40 mio. €",22
2017,Arsenal FC,"15,42 mio. €",27
2017,FC Everton,"7,94 mio. €",31
2017,Leicester City,"8,95 mio. €",23
2017,FC Southampton,"10,24 mio. €",16
2017,West Ham United,"6,36 mio. €",25
2017,Crystal Palace,"5,38 mio. €",23
2017,Newcastle United,"5,63 mio. €",27
2017,FC Watford,"5,30 mio. €",28
2017,Stoke City,"5,50 mio. €",27
2017,Burnley FC,"5,64 mio. €",16
2017,West Bromwich Albion,"5,03 mio. €",17
2017,Swansea City,"4,60 mio. €",25
2017,Brighton & Hove Albion,"3,80 mio. €",27
2017,AFC Bournemouth,"4,13 mio. €",14
2017,Huddersfield Town,"3,03 mio. €",19
2018,Manchester City,"25,61 mio. €",36
2018,FC Liverpool,"30,06 mio. €",25
2018,Chelsea FC,"21,60 mio. €",40
2018,Tottenham Hotspur,"26,43 mio. €",20
2018,Manchester United,"22,16 mio. €",23
2018,Arsenal FC,"15,69 mio. €",28
2018,FC Everton,"13,23 mio. €",29
2018,Leicester City,"11,73 mio. €",28
2018,West Ham United,"9,70 mio. €",24
2018,AFC Bournemouth,"8,38 mio. €",17
2018,FC Southampton,"7,64 mio. €",19
2018,Wolverhampton Wanderers,"7,57 mio. €",26
2018,Crystal Palace,"8,03 mio. €",21
2018,FC Fulham,"7,70 mio. €",26
2018,Newcastle United,"6,61 mio. €",25
2018,FC Watford,"6,13 mio. €",32
2018,Burnley FC,"5,98 mio. €",14
2018,Brighton & Hove Albion,"4,74 mio. €",29
2018,Huddersfield Town,"4,17 mio. €",21
2018,Cardiff City,"3,23 mio. €",21
2019,Manchester City,"29,96 mio. €",25
2019,FC Liverpool,"17,90 mio. €",32
2019,Tottenham Hotspur,"22,41 mio. €",22
2019,Chelsea FC,"19,61 mio. €",23
2019,Manchester United,"15,59 mio. €",26
2019,Arsenal FC,"15,99 mio. €",24
2019,FC Everton,"12,02 mio. €",22
2019,Leicester City,"12,85 mio. €",20
2019,Wolverhampton Wanderers,"7,28 mio. €",30
2019,West Ham United,"7,99 mio. €",25
2019,AFC Bournemouth,"6,98 mio. €",17
2019,Newcastle United,"6,16 mio. €",25
2019,Aston Villa,"6,10 mio. €",22
2019,FC Southampton,"5,85 mio. €",20
2019,Brighton & Hove Albion,"4,46 mio. €",29
2019,FC Watford,"4,64 mio. €",27
2019,Crystal Palace,"5,74 mio. €",18
2019,Burnley FC,"4,68 mio. €",12
2019,Norwich City,"3,82 mio. €",25
2019,Sheffield United,"4,08 mio. €",16
2020,Manchester City,"29,01 mio. €",23
2020,FC Liverpool,"22,55 mio. €",28
2020,Chelsea FC,"22,80 mio. €",23
2020,Manchester United,"19,74 mio. €",25
2020,Tottenham Hotspur,"17,16 mio. €",23
2020,Arsenal FC,"14,74 mio. €",27
2020,FC Everton,"11,62 mio. €",27
2020,Leicester City,"12,77 mio. €",27
2020,Wolverhampton Wanderers,"11,85 mio. €",32
